creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Conversations with Tyler,Tyler Cowen,Conversations with Tyler,Podcast,,Loved,20s,"{Current events},{Economics},{Philosophy}",https://conversationswithtyler.com/
Rationally Speaking,Julia Galef,Rationally Speaking,Podcast,,Loved,20s,{Epistemology},http://rationallyspeakingpodcast.org/
Switched on Pop,Charlie Harding & Nate Sloan,Switched on Pop,Podcast,,Loved,20s,{Music},https://switchedonpop.com/
Making Sense,Sam Harris,Making Sense,Podcast,,Loved,20s,"{Philosophy},{Culture}",https://samharris.org/podcast/
Innovate 1Z03 Lectures,Matthew Jordan,Innovate 1Z03 Lectures,Podcast,,Loved,20s,"{Artificial Intelligence},{History}",https://www.listennotes.com/podcasts/innovate-1z03-lectures-matthew-jordan-T2uAL_1R0wp/
Ezra Klein Show,Ezra Klein,The Ezra Klein Show,Podcast,,Loved,20s,"{Current events},{Culture}",https://www.vox.com/ezra-klein-show-podcast
Invest Like the Best,Patrick O'Shaughnessy,Invest Like the Best,Podcast,,Loved,20s,{Investing},http://investorfieldguide.com/podcast/
North Star,David Perell,North Star,Podcast,,Loved,20s,"{Investing},{Self-improvement}",https://www.perell.com/podcast
EconTalk,Russ Roberts,EconTalk,Podcast,,Loved,20s,{Economics},https://www.econtalk.org/
Scott H. Young Podcast,Scott H. Young,Scott H. Young Podcast,Podcast,,Loved,20s,{Self-improvement},https://www.scotthyoung.com/blog/podcast/
Very Bad Wizards,Tamler Sommers & David Pizzaro,Very Bad Wizards,Podcast,,Loved,20s,"{Psychology},{Philosophy}",https://verybadwizards.fireside.fm/
Venture Stories,Erik Torenberg,Venture Stories,Podcast,,Loved,20s,{Investing},https://www.villageglobal.vc/podcast/
Witch Please,Witch Please,Witch Please,Podcast,,Loved,20s,{Books},http://ohwitchplease.ca/
